transID,payUserID,typeCard,userName,userSex,userBirthYear,corridorID,corridorName,direction,payAmount,transDate,tapInHour,tapOutHour,routeName,routeID,bankID,duration
PGEG313Z8Q13MI,3546745892021028,dki,Dinda Pratiwi,M,2006,JAK.37,Cililitan - Condet via Kayu Manis,berangkat,0,2023-04-18,1900-01-01 12:20:38,1900-01-01 13:48:16,Mushola As Salam Batu Ampar-PGC Dalam,A1,B001,01:27:38
GUUM610Y4K57MG,2260346863403083,dki,"Sabri Marbun, S.T.",F,1965,11Q,Kampung Melayu - Pulo Gebang via BKT,berangkat,3500,2023-04-22,1900-01-01 17:01:46,1900-01-01 17:21:07,Taman Buaran Indah-Walikota Jakarta Timur,A2,B001,00:19:21
OTEG189R6L24CQ,2246744141931579,dki,Mahdi Wibisono,F,1991,JAK.22,Dwikora - Penas Kalimalang,arah balik,0,2023-04-19,1900-01-01 09:56:23,1900-01-01 11:07:59,Ps. Mini Halim-Cawang Soetoyo 1,A3,B001,01:11:36
LCIJ138M3Y62NV,2.25E+20,dki,Tirta Siregar,F,1993,1T,Cibubur - Balai Kota,berangkat,20000,2023-04-18,1900-01-01 16:36:02,1900-01-01 17:43:14,Dukuh Atas 3-Plaza Sentral,A4,B001,01:07:12
LHGN854O8H44FT,4484508142147221,dki,Abyasa Haryanti,M,1948,JAK.07,Tanah Abang - Grogol via Tawakal,berangkat,0,2023-04-18,1900-01-01 18:07:29,1900-01-01 19:21:13,Ps. Gantung-Simpang Semangka I,A5,B001,01:13:44
ZIPG538Y7X13KT,4357457456440,online,Legawa Wulandari,M,2010,D32,Cinere - Bundaran Senayan,berangkat,20000,2023-04-28,1900-01-01 09:01:28,1900-01-01 10:48:54,SPBU Limo Cinere 1-South City Cinere,A6,B002,01:47:26
AVHH193B2M31RI,6011822091986589,dki,"Yosef Novitasari, M.M.",F,1984,1P,Senen - Blok M,arah balik,3500,2023-04-17,1900-01-01 21:56:27,1900-01-01 23:48:30,Bundaran Senayan 1-Taman Patimura,A7,B001,01:52:03
QMPR047I4K88SY,378553815963022,emoney,Drs. Salimah Hidayanto,M,1970,JAK.64,Lenteng Agung - Aseli,berangkat,0,2023-04-14,1900-01-01 19:39:50,1900-01-01 20:49:03,Sbr. Sekolah Avicenna Jagakarsa-Sbr. Masjid Jami Asy Syakirin,A8,B003,01:09:13
TIWB024F4I43OZ,3587337956647904,dki,Eka Hidayat,M,1988,JAK.117,Tanjung Priok - Tanah Merdeka,arah balik,0,2023-04-18,1900-01-01 20:04:50,1900-01-01 21:34:16,Sbr. Masjid Ar Rohmah-Waduk Rawabadak,A9,B001,01:29:26
GRNS539K5C87YN,4484508142147221,dki,Abyasa Haryanti,M,1948,JAK.07,Tanah Abang - Grogol via Tawakal,arah balik,0,2023-04-17,1900-01-01 09:26:47,1900-01-01 10:01:38,Jln. Tali Kota Bambu Selatan-Pospol Tomang 2,A10,B001,00:34:51
